residue ARG
accept	      28	      31	      30	     1
accept	      29	      31	      30	   110
accept	      29	      32	      30	 37094
accept	      30	      32	      30	    49
partnertoaccept	      22	      32	      30	     1
partnertoaccept	      22	      33	      30	     1
partnertoaccept	      23	      31	      28	     1
partnertoaccept	      23	      32	      28	     1
partnertoaccept	      23	      32	      29	     4
partnertoaccept	      23	      33	      27	     3
partnertoaccept	      23	      33	      28	     7
partnertoaccept	      23	      33	      29	     8
partnertoaccept	      23	      33	      30	    10
partnertoaccept	      23	      33	      31	     1
partnertoaccept	      23	      33	      32	     1
partnertoaccept	      23	      34	      28	     5
partnertoaccept	      23	      34	      29	     6
partnertoaccept	      23	      34	      30	     5
partnertoaccept	      23	      35	      30	     3
partnertoaccept	      24	      30	      30	     1
partnertoaccept	      24	      31	      26	     1
partnertoaccept	      24	      31	      27	     1
partnertoaccept	      24	      31	      28	     1
partnertoaccept	      24	      31	      30	     1
partnertoaccept	      24	      32	      26	     1
partnertoaccept	      24	      32	      27	     6
partnertoaccept	      24	      32	      28	     2
partnertoaccept	      24	      32	      29	     1
partnertoaccept	      24	      32	      30	     1
partnertoaccept	      24	      33	      26	     2
partnertoaccept	      24	      33	      27	     6
partnertoaccept	      24	      33	      28	    17
partnertoaccept	      24	      33	      29	    15
partnertoaccept	      24	      33	      30	     6
partnertoaccept	      24	      33	      32	     2
partnertoaccept	      24	      33	      33	     4
partnertoaccept	      24	      34	      26	     3
partnertoaccept	      24	      34	      27	     2
partnertoaccept	      24	      34	      28	    19
partnertoaccept	      24	      34	      29	    14
partnertoaccept	      24	      34	      30	    26
partnertoaccept	      24	      34	      31	     5
partnertoaccept	      24	      34	      32	     5
partnertoaccept	      24	      34	      33	     5
partnertoaccept	      24	      35	      27	     2
partnertoaccept	      24	      35	      28	    10
partnertoaccept	      24	      35	      29	     2
partnertoaccept	      24	      35	      30	    18
partnertoaccept	      24	      35	      31	     4
partnertoaccept	      24	      36	      28	     1
partnertoaccept	      24	      36	      30	     5
partnertoaccept	      24	      36	      31	     2
partnertoaccept	      25	      30	      26	     3
partnertoaccept	      25	      30	      27	     3
partnertoaccept	      25	      30	      28	     1
partnertoaccept	      25	      30	      32	     2
partnertoaccept	      25	      31	      25	     2
partnertoaccept	      25	      31	      26	     2
partnertoaccept	      25	      31	      27	     1
partnertoaccept	      25	      31	      28	     2
partnertoaccept	      25	      31	      32	     1
partnertoaccept	      25	      32	      25	     4
partnertoaccept	      25	      32	      26	     2
partnertoaccept	      25	      32	      27	     2
partnertoaccept	      25	      32	      28	     2
partnertoaccept	      25	      32	      30	     1
partnertoaccept	      25	      32	      33	     3
partnertoaccept	      25	      32	      35	     2
partnertoaccept	      25	      33	      25	     3
partnertoaccept	      25	      33	      26	     7
partnertoaccept	      25	      33	      27	    13
partnertoaccept	      25	      33	      28	    10
partnertoaccept	      25	      33	      29	     5
partnertoaccept	      25	      33	      31	     2
partnertoaccept	      25	      33	      32	     4
partnertoaccept	      25	      33	      33	     1
partnertoaccept	      25	      33	      34	     1
partnertoaccept	      25	      33	      35	     1
partnertoaccept	      25	      34	      25	     2
partnertoaccept	      25	      34	      26	    13
partnertoaccept	      25	      34	      27	    33
partnertoaccept	      25	      34	      28	    29
partnertoaccept	      25	      34	      29	    16
partnertoaccept	      25	      34	      30	     8
partnertoaccept	      25	      34	      31	     8
partnertoaccept	      25	      34	      32	    10
partnertoaccept	      25	      34	      33	     5
